Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
30.143560|	20.301489|	0.000000|	1.995441|	0.000000|	16.890912|	7.191287|	0.000000|	1.647624|	0.000000|	
18.630372|	8.808367|	0.000000|	1.961941|	0.000000|	16.860787|	7.174170|	0.000000|	1.566278|	0.000000|	
18.526731|	8.702068|	0.000000|	1.982501|	0.000000|	16.926104|	7.187101|	0.000000|	1.544408|	0.000000|	
27.758075|	17.926991|	0.000000|	2.010341|	0.000000|	16.751569|	7.111504|	0.000000|	1.636660|	0.000000|	
32.575390|	22.730118|	0.000000|	1.965248|	0.000000|	16.864471|	7.158219|	0.000000|	1.694227|	0.000000|	
32.648005|	22.794004|	0.000000|	1.975443|	0.000000|	16.864844|	7.159613|	0.000000|	1.708376|	0.000000|	
31.967268|	22.265199|	0.000000|	1.950986|	0.000000|	16.591072|	7.022814|	0.000000|	1.655016|	0.000000|	
2.711206|	0.745978|	0.000000|	0.764250|	0.000000|	2.716841|	0.699982|	0.000000|	0.544935|	0.000000|	
2.883864|	0.781473|	0.000000|	0.761083|	0.000000|	2.933924|	0.778810|	0.000000|	0.579162|	0.000000|	
3.040763|	0.781591|	0.000000|	0.785091|	0.000000|	3.002115|	0.773527|	0.000000|	0.570063|	0.000000|	
