NAMEFILE, TIME, SIZE, ENERGY, NTHREAD
SEQ, 0.553845, 1024, 22.878409, 1
MULTI, 0.394159, 1024, 19.574473, 2
SIMD, 0.076674, 1024, 4.591529, 2
SEQ, 0.561634, 1024, 23.585541, 1
MULTI, 0.227667, 1024, 13.161169, 4
SIMD, 0.044661, 1024, 3.403953, 4
SEQ, 0.548939, 1024, 22.734771, 1
MULTI, 0.188429, 1024, 13.113793, 8
SIMD, 0.042006, 1024, 3.375711, 8
SEQ, 4.819915, 2048, 208.907928, 1
MULTI, 2.898699, 2048, 149.062893, 2
SIMD, 1.516138, 2048, 73.365957, 2
SEQ, 4.711308, 2048, 199.648946, 1
MULTI, 1.815123, 2048, 111.119711, 4
SIMD, 0.786499, 2048, 46.800208, 4
SEQ, 4.944234, 2048, 210.335909, 1
MULTI, 1.469848, 2048, 111.067513, 8
SIMD, 0.411336, 2048, 33.320070, 8
SEQ, 38.259743, 4096, 1640.703420, 1
MULTI, 23.635952, 4096, 1192.461831, 2
SIMD, 11.275639, 4096, 551.767975, 2
SEQ, 38.274363, 4096, 1673.777745, 1
MULTI, 12.841662, 4096, 856.745351, 4
SIMD, 6.143171, 4096, 377.136944, 4
SEQ, 38.071300, 4096, 1668.013532, 1
MULTI, 11.426103, 4096, 922.943069, 8
SIMD, 4.313739, 4096, 329.886352, 8
SEQ, 311.433647, 8192, 13599.194901, 1
MULTI, 188.936464, 8192, 9846.080779, 2
SIMD, 89.861016, 8192, 4649.085181, 2
SEQ, 312.457674, 8192, -51887.026198, 1
MULTI, 104.458093, 8192, 7250.052190, 4
SIMD, 51.233458, 8192, 3354.674918, 4
SEQ, 315.169516, 8192, 13710.833155, 1
MULTI, 87.823052, 8192, 7300.822163, 8
SIMD, 40.331617, 8192, 2957.515876, 8
